actual,pred_lr,pred_rf
2881628,887204.672954388,2886820.52
5910355,10968344.885247447,4636178.35
15915316,41562746.82195011,13183355.7
5617868,23558489.754302662,6421402.52
1492771,-4391239.367788399,1423126.41
2076397,-1600740.2012762967,2156557.51
183728,-3913949.7372331247,184370.95
2060321,-3575621.606120618,2207226.15
308890413,246097701.3049464,261581926.92
1875216,-757645.0355909914,1507177.53
26778767,18997336.789251257,21100375.95
17260539,18148562.141910452,17450315.59
341796,-3140709.57557239,341515.8
148486,-2201238.4288757145,148592.18
4772754,-2242841.3600060884,3782718.17
1550043,-3485873.817891283,1421966.19
31720619,39334310.2430045,33654366.41
214307,-331715.8302927762,214246.07
7759742,37833265.255952284,8566661.49
7211100,5905438.131183647,6879070.85
43018804,62014919.88274546,34938968.24
24812837,33213811.222602624,24884048.3
20749334,44485468.99540627,25161564.09
1718235,-3902758.493608646,1700552.46
187463596,165999965.70981306,177054136.12
433307,699215.0421549827,439307.24
24136128,20347122.666550044,23165841.18
4127339,3114300.2447303645,3629455.71
259014,-2704795.8537664637,272675.65
573368,-2570461.077287521,586396.3
317897,-5676813.284240462,317940.47
2568913,-2509066.2286712267,2264685.8
153191,-3544666.719065085,153175.55
247463,2624916.090278659,247538.33
236050,3089822.112883672,236057.94
326524,4230876.564891763,326539.06
58089002,47239673.126192436,53462375.69
443184,-1406288.4148412552,474404.6
13307573,12171784.871853296,13530340.91
662918,-4880752.251186639,679148.81
26983605,25503955.18161959,22938983.23
1763657,-2370609.3818684835,1891082.87
70476,-1350386.169808291,70461.88
678884,-5675034.62468381,677647.36
5083130,861104.7255653143,5451747.38
1872619,-3503595.8365462776,2054466.08
1253464,-5281101.955298418,1197936.61
293855,-1154597.2436982654,293768.79
1728824,-1413287.174948644,1998541.48
1478801,-2442685.970392773,1524041.4
236899,331329.4342126213,236983.71
595484,97625.38710323349,609104.45
4890671,3520155.8411224,5084101.2
457049,3407149.782561153,456340.56
389678,-5296012.064124413,388891.37
2639035,-118101.6004316248,2388277.0
622479,-3816356.7799485642,594871.01
4332587,629711.2744255103,4436298.67
240827,2756406.168173462,240826.04
