Artist Name,avg_days_on_chart,avg_peak_streams,total_streams,cluster
Chris Young ,55.0,198712.4,42919361,1
Christina Aguilera ,4.0,298057.2,5585874,1
Christina Perri ,2.0,170388.5,492783,1
Chucho Flash ,23.0,311115.0,5186043,1
Chuck Berry ,114.5,1136442.5,97090791,0
Ciara ,1.0,102349.0,204698,1
Cico P ,73.0,412835.0,21632969,1
Cigarettes After Sex ,170.0,402317.0,55292647,2
City Girls ,65.83333333333333,343547.5,108416911,1
Claire Rosinkranz ,18.0,236294.0,3877495,1
Clairo ,54.5,340565.5,68321525,1
Clean Bandit ,175.0,419612.0,269621413,2
Clinton Kane ,35.666666666666664,396629.3333333333,28044228,1
Cobra Starship ,22.0,71206.0,1328923,1
Cochise ,178.5,443286.0,117943580,2
Cody Johnson ,182.0,367310.0,49196663,2
Coi Leray ,9.0,365451.5,4672292,1
Colbie Caillat ,13.0,61403.0,1360570,1
Cold War Kids ,1.0,55182.0,55182,1
Coldplay ,45.06896551724138,320754.1379310345,277940759,1
Cole Swindell ,34.166666666666664,175159.33333333334,65560012,1
Coleman Hell ,13.0,82338.0,1029378,1
Comethazine ,43.0,269153.0,32344305,1
Commodores ,3.0,289280.0,814411,1
Common ,6.0,125161.0,506554,1
Conan Gray ,80.14285714285714,372650.85714285716,343913045,1
Conrad Sewell ,61.0,167636.0,7207050,1
Cooliecut ,1.0,333504.0,333504,1
Coolio ,9.0,566526.0,5735424,1
Cordae ,5.071428571428571,311071.85714285716,19133863,1
Corey ,1.0,306127.0,306127,1
Counting Crows ,1.0,65036.0,65036,1
Creedence Clearwater Revival ,7.0,267971.0,5110958,1
Cults ,31.0,390190.0,9155390,1
Curtis Waters ,126.0,427327.0,39723968,2
Céline Dion ,1.5,214635.0,766972,1
D Smoke ,1.0,223661.0,223661,1
D'Angelo ,2.75,96621.91666666667,2855940,1
DDG ,90.0,398597.0,54874181,1
DJ A1 ,7.0,534459.0,3515866,1
DJ Diddy ,1.0,203457.0,203457,1
DJ Drama ,26.5,143225.0,6905952,1
DJ Durel ,7.0,319315.0,1788561,1
DJ ESCO ,87.0,232717.5,33235701,1
DJ Jazzy Jeff & The Fresh Prince ,6.0,428724.0,1927528,1
DJ Khaled ,35.04477611940298,544132.0746268657,979791535,1
DJ Luian ,26.0,260229.0,5547596,1
DJ Luke Nasty ,22.0,124503.0,2446805,1
DJ Many ,14.0,433692.0,4096551,1
DJ Scheme ,4.0,291276.0,1026238,1
DJ Snake ,110.53846153846153,503291.92307692306,505772726,2
DJ Suede The Remix God ,2.0,129281.0,240722,1
DJDS ,1.0,202109.0,202109,1
DLOW ,47.0,152348.0,5545139,1
DMX ,3.5454545454545454,503408.9090909091,15057949,1
DNCE ,129.0,328400.0,145790100,2
DRAM ,185.25,419047.25,299673831,2
DUSTY LOCANE ,68.0,382445.0,19039170,1
DVBBS ,65.0,286711.0,14857892,1
DaBaby ,77.85106382978724,764466.1702127659,1612903610,3
Daddy Yankee ,26.5,314979.5833333333,93077526,1
